full_name,table_schema,table_name,ordinal_position,column_name,data_type,comment
access.assistant_events,access,assistant_events,0,account_id,string,ID of the account.
access.assistant_events,access,assistant_events,1,workspace_id,string,ID of the workspace.
access.assistant_events,access,assistant_events,2,event_id,string,A unique ID for this event.
access.assistant_events,access,assistant_events,3,event_time,timestamp,Time that the event happened. Timezone information is recorded at the end of the value with +00:00 representing UTC.
access.assistant_events,access,assistant_events,4,event_date,date,Date that the event happened.
access.assistant_events,access,assistant_events,5,user_agent,string,Origination of request.
access.assistant_events,access,assistant_events,6,initiated_by,string,Email of the user initiating the request.
access.audit,access,audit,0,account_id,string,The Databricks account identifier associated with the audit event.
access.audit,access,audit,1,workspace_id,string,"The Databricks workspace in which the audit event took place. For account-level events, the workspace_id will be 0."
access.audit,access,audit,2,version,string,Audit log schema version
access.audit,access,audit,3,event_time,timestamp,Timestamp of the event
access.audit,access,audit,4,event_date,date,The calendar date when the event or action occurred. Useful for filtering and aggregating events by day.
access.audit,access,audit,5,source_ip_address,string,The IP address from which the request originated.
access.audit,access,audit,6,user_agent,string,"The user agent string or identifier describing the client, browser, or tool that initiated the request (e.g., web browser, API client, CLI)"
access.audit,access,audit,7,session_id,string,Unique identifier for the session in which the request was made. Sessions group related actions by a user or service over a period of time
access.audit,access,audit,8,user_identity,"struct<email:string,subject_name:string>",A map of key/value pairs that can be used to identify the person or service principal that initiated the request. Contains keys such as email and subject_name. An email of System-User is used for background system tasks.
access.audit,access,audit,9,service_name,string,The name of the Databricks service that generated the audit event. See [service documentation](https://docs.databricks.com/aws/admin/account-settings/audit-logs#audit-log-services) for details.
access.audit,access,audit,10,action_name,string,The name of the action that has been performed as part of the audit event. Action names vary depending on the Databricks service (service_name). See [documentation of actions per service](https://docs.databricks.com/aws/admin/account-settings/audit-logs) for details.
access.audit,access,audit,11,request_id,string,A unique identifier of the request.
