schema,display_name,full_name,status,description
access,Audit logs,system.access.audit,Public Preview,Includes records for all audit events from workspaces in your region
access,Clean room events,system.access.clean_room_events,Public Preview,Captures events related to clean rooms
access,Column lineage,system.access.column_lineage,GA,Includes a record for each read or write event on a Unity Catalog column
access,Genie Code events,system.access.assistant_events,Public Preview,Tracks user messages sent to the Genie Code
access,Inbound network events,system.access.inbound_network,Public Preview,Records an event for every time inbound access to a workspace is denied by an ingress policy
access,Outbound network events,system.access.outbound_network,Public Preview,Records an event every time outbound internet access is denied from your account
access,Table lineage,system.access.table_lineage,GA,Includes a record for each read or write event on a Unity Catalog table or path
access,Workspaces,system.access.workspaces_latest,Public Preview,Slow-changing dimension table of metadata for all workspaces in the account
billing,Billable usage,system.billing.usage,GA,Includes records for all billable usage across your account
billing,Pricing,system.billing.list_prices,GA,Historical log of SKU pricing with records added when SKU prices change
compute,Clusters,system.compute.clusters,GA,Slow-changing dimension table containing full history of compute configurations
compute,Instance events,system.compute.instance_events,Public Preview,Captures state transitions of classic compute instances
compute,Instance pools,system.compute.instance_pools,Public Preview,Slow-changing dimension table with full history of instance pool configurations
compute,Node timeline,system.compute.node_timeline,GA,Captures utilization metrics of all-purpose and jobs compute resources
compute,Node types,system.compute.node_types,GA,Captures currently available node types with basic hardware information
compute,Warehouse events,system.compute.warehouse_events,GA,Captures events related to SQL warehouses (starting, stopping, scaling)
compute,SQL warehouses,system.compute.warehouses,GA,Contains full history of configurations over time for any SQL warehouse
data_classification,Data classification results,system.data_classification.results,Public Preview,Stores column-level detections of sensitive data classes across enabled catalogs
data_quality_monitoring,Data quality monitoring results,system.data_quality_monitoring.table_results,Public Preview,Stores results of data quality monitoring checks and incident information
lakeflow,Job run timeline,system.lakeflow.job_run_timeline,GA,Tracks the start and end times of job runs
lakeflow,Job task timeline,system.lakeflow.job_task_run_timeline,GA,Tracks start/end times and compute resources used for job task runs
lakeflow,Job tasks,system.lakeflow.job_tasks,GA,Tracks all job tasks that run in the account
lakeflow,Jobs,system.lakeflow.jobs,GA,Tracks all jobs created in the account
lakeflow,Pipeline update timeline,system.lakeflow.pipeline_update_timeline,Public Preview,Tracks start/end times and compute resources used for pipeline updates
lakeflow,Pipelines,system.lakeflow.pipelines,Public Preview,Tracks all pipelines created in the account
lakeflow,Zerobus Ingest (Streams),system.lakeflow.zerobus_stream,Beta,Stores all data related to stream events incurred by Zerobus Ingest usage
lakeflow,Zerobus Ingest (Ingestion),system.lakeflow.zerobus_ingest,Beta,Stores all data related to records ingested using Zerobus Ingest
mlflow,MLflow experiment metadata,system.mlflow.experiments_latest,Public Preview,Each row represents an experiment created in the Databricks-managed MLflow system
mlflow,MLflow run metadata,system.mlflow.runs_latest,Public Preview,Each row represents a run created in the Databricks-managed MLflow system
mlflow,MLflow run metrics,system.mlflow.run_metrics_history,Public Preview,Holds timeseries metrics logged to MLflow for model training and evaluation
query,Query history,system.query.history,Public Preview,Captures records for all queries run on SQL warehouses and serverless compute
storage,Automatic upgrades,system.storage.table_auto_upgrade_operations_history,Public Preview,Tracks feature enablement operations by automatic upgrades on Unity Catalog managed tables
storage,Predictive optimization,system.storage.predictive_optimization_operations_history,Public Preview,Tracks operation history of the predictive optimization feature
replication,Replication,system.replication.states,Private Preview,Tracks replication status for Databricks managed disaster recovery
serving,Model serving endpoint data,system.serving.served_entities,Public Preview,Slow-changing dimension table storing metadata for each served foundation model
serving,Model serving endpoint usage,system.serving.endpoint_usage,Public Preview,Captures token counts for each request to a model serving endpoint
sharing,OpenSharing data materialization events,system.sharing.materialization_history,GA,"Captures data materialization events from view, materialized view, and streaming table sharing"
ai_gateway,AI Gateway usage,system.ai_gateway.usage,Beta,"Captures request/response details including token usage, latency, and performance metrics"
ai_gateway,AI Gateway external model spend,system.ai_gateway.external_model_spend,Beta,Records estimated USD spend for requests routed to external models
marketplace,Marketplace funnel events,system.marketplace.listing_funnel_events,Public Preview,Includes consumer impression and funnel data for your listings
marketplace,Marketplace listing access,system.marketplace.listing_access_events,Public Preview,Includes consumer info for completed request data or get data events
